Agency,Title,latitude,longitude
HPD,DOOR/WINDOW,40.68302183,-73.96172365
NYPD,Noise - Residential,40.67720058,-74.01035058
NYPD,Noise - Residential,40.73806159,-73.78127702
TLC,For Hire Vehicle Report,40.60398897,-73.75370191
NYPD,Blocked Driveway,40.71415818,-73.76227682
NYPD,Blocked Driveway,40.74782835,-73.82700772
DOT,Street Condition,40.82180872,-73.95124184
NYPD,Noise - Commercial,40.7327105,-73.98761658
NYPD,Blocked Driveway,40.71417462,-73.76225873
DOT,Street Condition,40.81786125,-73.95671096
DEP,Hazardous Materials,40.88091495,-73.91612432
NYPD,Noise - Residential,40.68431071,-73.83567813
NYPD,Illegal Parking,40.62223803,-73.92240031
DOT,Traffic Signal Condition,40.69687178,-73.92302388
NYPD,Blocked Driveway,40.74798768,-73.87609406
NYPD,Noise - Residential,40.64458477,-74.00367913
NYPD,Noise - Residential,40.69912876,-73.91258073
NYPD,Noise - Commercial,40.72639958,-73.85231494
NYPD,Blocked Driveway,40.60025564,-73.76000317
DOT,Traffic Signal Condition,40.8196938,-73.90160159
DSNY,Request Large Bulky Item Collection,40.60415236,-73.9593128
NYPD,Illegal Parking,40.75292809,-73.89531894
NYPD,Noise - Residential,40.63455727,-73.94782258
NYPD,Noise - Residential,40.68431071,-73.83567813
NYPD,Noise - Residential,40.6352577,-73.99098181
NYPD,Blocked Driveway,40.83107305,-73.88085739
DOT,Traffic Signal Condition,40.76379777,-73.80823078
DEP,Sewer,40.70253513,-73.99431602
NYPD,Illegal Parking,40.65367501,-73.96274599
NYPD,Noise - Residential,40.58381103,-73.82333196
NYPD,Noise - Residential,40.65840455,-73.88188301
NYPD,Noise - Street/Sidewalk,40.6303235,-74.02229703
NYPD,Noise - Residential,40.65381155,-73.96064841
NYPD,Noise - Residential,40.65840455,-73.88188301
NYPD,Blocked Driveway,40.63712932,-74.13817719
NYPD,Noise - Residential,40.58381103,-73.82333196
NYPD,Noise - Residential,40.7976176,-73.94133449
NYPD,Noise - Residential,40.70002884,-73.84268641
NYPD,Noise - Residential,40.73876029,-74.00849092
NYPD,Noise - Residential,40.83866978,-73.94018158
TLC,Taxi Complaint,40.64368146,-73.9555988
NYPD,Noise - Residential,40.70011399,-73.84272949
NYPD,Blocked Driveway,40.8315471,-73.86755132
NYPD,Illegal Parking,40.76298784,-73.98779144
DEP,Noise,40.76416178,-73.96888965
NYPD,Noise - Residential,40.84556762,-73.90750531
NYPD,Noise - Residential,40.68002159,-73.82880964
NYPD,Noise - Residential,40.60656553,-73.98327868
NYPD,Noise - Street/Sidewalk,40.61556927,-73.99043338
NYPD,Blocked Driveway,40.83196106,-73.88779393
NYPD,Noise - Residential,40.62133905,-74.00636149
NYPD,Noise - Street/Sidewalk,40.62935775,-73.9678645
NYPD,Noise - Residential,40.84972807,-73.88550123
NYPD,Noise - Residential,40.8952191,-73.89767743
NYPD,Noise - Residential,40.86797554,-73.86342933
HPD,HEAT/HOT WATER,40.64925749,-73.92621765
HPD,UNSANITARY CONDITION,40.64925749,-73.92621765
NYPD,Noise - Street/Sidewalk,40.71366733,-73.88686041
NYPD,Noise - Residential,40.82310059,-73.9491778
NYPD,Noise - Residential,40.69292756,-73.84429705
NYPD,Noise - Residential,40.71000342,-74.00910044
NYPD,Noise - Commercial,40.74244241,-73.98050554
NYPD,Noise - Residential,40.72230847,-73.9961398
DOB,Building/Use,40.70349864,-73.95634521
NYPD,Noise - Residential,40.85595732,-73.92816453
NYPD,Noise - Commercial,40.84637266,-73.78617623
NYPD,Noise - Residential,40.58602573,-74.10237087
HPD,HEAT/HOT WATER,40.82917544,-73.88806602
NYPD,Noise - Street/Sidewalk,40.62305382,-74.11326337
NYPD,Blocked Driveway,40.75520721,-73.86233225
NYPD,Noise - Residential,40.85540931,-73.93433934
NYPD,Noise - Residential,40.63368862,-73.97771626
NYPD,Noise - Residential,40.82765872,-73.83049304
NYPD,Noise - Residential,40.83805814,-73.94664023
NYPD,Noise - Residential,40.84559583,-73.94243432
NYPD,Noise - Commercial,40.72103857,-73.95879049
NYPD,Noise - Residential,40.74360274,-73.90985185
NYPD,Blocked Driveway,40.68737922,-73.86280402
NYPD,Noise - Residential,40.59892377,-73.9358051
NYPD,Noise - Residential,40.82986567,-73.93677836
NYPD,Noise - Residential,40.8489298,-73.93563973
NYPD,Noise - Street/Sidewalk,40.62374038,-73.91594319
NYPD,Noise - Residential,40.70124466,-73.81322904
NYPD,Noise - Residential,40.82310059,-73.9491778
NYPD,Noise - Residential,40.71542608,-73.87308118
HPD,ELECTRIC,40.66797287,-73.99256707
HPD,HEAT/HOT WATER,40.63516731,-73.99384256
NYPD,Noise - Residential,40.70655371,-73.80212682
NYPD,Noise - Street/Sidewalk,40.53741659,-74.20719049
NYPD,Noise - Commercial,40.86582691,-73.9276007
NYPD,Noise - Residential,40.70993199,-74.00986872
NYPD,Noise - Residential,40.66918098,-73.89656786
NYPD,Illegal Fireworks,40.6352577,-73.99098181
NYPD,Blocked Driveway,40.85664391,-73.90254104
NYPD,Noise - Residential,40.7592301,-73.91546177
HPD,WATER LEAK,40.7056381,-73.83603312
NYPD,Noise - Residential,40.86812308,-73.9068846
DOT,Curb Condition,40.6625965,-73.93422996
NYPD,Noise - Residential,40.68697192,-73.82552498
NYPD,Noise - Commercial,40.70923327,-73.90689374
NYPD,Noise - Street/Sidewalk,40.83550486,-73.88818185
NYPD,Noise - Street/Sidewalk,40.78638289,-73.97997267
NYPD,Noise - Residential,40.8906892,-73.86223975
NYPD,Noise - Street/Sidewalk,40.60609249,-73.97776148
NYPD,Noise - Residential,40.84556762,-73.90750531
NYPD,Noise - Residential,40.73236867,-73.90012129
NYPD,Blocked Driveway,40.82313364,-73.91641033
NYPD,Noise - Residential,40.7136386,-73.91032524
NYPD,Noise - Residential,40.86353835,-73.92843472
NYPD,Noise - Residential,40.8906892,-73.86223975
NYPD,Illegal Parking,40.84196157,-73.9152952
NYPD,Noise - Commercial,40.75171258,-73.9726924
NYPD,Illegal Parking,40.61224389,-73.97947025
NYPD,Noise - Residential,40.68637086,-73.9895867
DOT,Traffic Signal Condition,40.66972535,-73.86096223
NYPD,Noise - Street/Sidewalk,40.73210737,-73.84918842
NYPD,Noise - Commercial,40.86037585,-73.83060487
NYPD,Noise - Residential,40.76044498,-73.87009679
NYPD,Noise - Commercial,40.63098847,-74.1021192
NYPD,Illegal Parking,40.56059479,-74.1770853
NYPD,Noise - Residential,40.80569716,-73.95810234
HPD,HEAT/HOT WATER,40.68318603,-73.87816867
NYPD,Noise - Residential,40.84637632,-73.93404826
NYPD,Noise - Residential,40.61955487,-73.99252563
NYPD,Illegal Parking,40.61227134,-73.97947744
NYPD,Noise - Residential,40.85438041,-73.93027367
HPD,HEAT/HOT WATER,40.84439288,-73.9409282
NYPD,Derelict Vehicle,40.65419627,-73.94220303
NYPD,Noise - Street/Sidewalk,40.60752365,-73.9846578
NYPD,Noise - Street/Sidewalk,40.60558657,-73.95575379
NYPD,Blocked Driveway,40.75966626,-73.91510747
NYPD,Blocked Driveway,40.86471182,-73.90076852
NYPD,Noise - Commercial,40.78649156,-73.9743212
NYPD,Noise - Residential,40.86038748,-73.92850318
NYPD,Noise - Street/Sidewalk,40.75578209,-73.883331
NYPD,Blocked Driveway,40.88763199,-73.86254989
NYPD,Noise - Residential,40.83771224,-73.9074837
NYPD,Animal Abuse,40.61686849,-73.90666238
HPD,HEAT/HOT WATER,40.81916894,-73.95277926
NYPD,Illegal Parking,40.77500309,-73.84357801
NYPD,Noise - Street/Sidewalk,40.87215762,-73.90334993
DEP,Sewer,40.72880112,-73.73327018
NYPD,Noise - Residential,40.69213325,-73.83182924
NYPD,Noise - Street/Sidewalk,40.7866053,-73.98048899
NYPD,Noise - Residential,40.72768692,-73.9530317
NYPD,Noise - Residential,40.67469234,-73.95650467
NYPD,Blocked Driveway,40.65349564,-73.93569853
NYPD,Noise - Residential,40.81377793,-73.95184742
NYPD,Noise - Street/Sidewalk,40.66082748,-73.98503841
NYPD,Noise - Residential,40.63577474,-74.13933814
NYPD,Noise - Residential,40.86348115,-73.90277325
NYPD,Noise - Residential,40.88312101,-73.89217744
NYPD,Blocked Driveway,40.85184597,-73.8930306
DSNY,Request Large Bulky Item Collection,40.87343579,-73.8574881
NYPD,Blocked Driveway,40.61860224,-73.91241244
NYPD,Noise - Residential,40.77570943,-73.84632037
NYPD,Noise - Residential,40.72207245,-73.97466711
NYPD,Noise - Commercial,40.71724402,-73.95531171
NYPD,Illegal Parking,40.61229879,-73.97948104
NYPD,Noise - Residential,40.76324897,-73.79247521
NYPD,Noise - Residential,40.85197494,-73.83103473
NYPD,Noise - Residential,40.64789513,-73.96473482
